"agep","schg","esr","puma","serialno"
18,,"6","11613","2014001461479"
23,,"6","11613","2014001470313"
22,,"3","11612","2014001475081"
23,,"6","11611","2014001486325"
20,,"3","11612","2014001475081"
21,,"6","11604","2014001491732"
23,,"6","11612","2014001495183"
20,,"6","11614","2015000039634"
21,,"3","11610","2015000016530"
18,,"3","11604","2015000022528"
23,,"3","11615","2015000122393"
21,,"6","11611","2015000051573"
21,,"6","11613","2015000095262"
22,,"6","11614","2015000182101"
23,,"6","11611","2015000284427"
23,,"6","11614","2015000365110"
24,,"3","11612","2015000288090"
24,,"3","11611","2015000325063"
23,,"3","11612","2015000354955"
24,,"6","11611","2015000365207"
24,,"6","11610","2015000469647"
18,,"6","11612","2015000388217"
18,,"3","11614","2015000408207"
18,,"3","11613","2015000413383"
21,,"3","11610","2015000422539"
20,,"6","11615","2015000435546"
19,,"3","11613","2015000436785"
23,,"3","11612","2015000522021"
22,,"6","11615","2015000501937"
24,,"3","11615","2015000488282"
23,,"6","11614","2015000657349"
22,,"3","11613","2015000566835"
22,,"6","11613","2015000566835"
20,,"6","11614","2015000614394"
16,,"6","11615","2015000650843"
21,,"6","11615","2015000556693"
17,,"6","11612","2015000571386"
24,,"6","11614","2015000614394"
16,,"6","11614","2015000639047"
23,,"3","11615","2015000691577"
19,,"3","11612","2015000664648"
24,,"6","11612","2015000672530"
22,,"3","11614","2015000680508"
19,,"6","11613","2015000704508"
20,,"6","11604","2015000703702"
19,,"3","11614","2015000720456"
23,,"6","11604","2015000712746"
20,,"6","11613","2015000723829"
23,,"6","11610","2015000795797"
19,,"3","11604","2015000784141"
22,,"6","11613","2015000788992"
24,,"6","11610","2015000801810"
23,,"6","11611","2015000858138"
24,,"3","11614","2015000833566"
24,,"6","11615","2015000825470"
20,,"6","11613","2015000971675"
24,,"3","11612","2015000895429"
24,,"6","11611","2015000914971"
24,,"6","11614","2015001075258"
22,,"6","11614","2015001029197"
22,,"3","11612","2015001030849"
24,,"6","11612","2015001036103"
24,,"3","11615","2015001265411"
24,,"3","11604","2015001078210"
20,,"6","11610","2015001168092"
23,,"6","11610","2015001168092"
18,,"6","11614","2015001185185"
19,,"3","11613","2015001220225"
23,,"3","11613","2015001241717"
21,,"6","11613","2015001157462"
20,,"6","11613","2015001180162"
21,,"3","11614","2015001207071"
20,,"6","11610","2015001225136"
22,,"6","11614","2015001336558"
22,,"6","11614","2015001288120"
16,,"6","11612","2015001329594"
21,,"6","11611","2015001330173"
18,,"6","11610","2015001272145"
17,,"6","11614","2015001313106"
16,,"6","11614","2015001313106"
24,,"6","11614","2015001371640"
22,,"3","11613","2015001455193"
18,,"6","11610","2015001375172"
20,,"6","11614","2015001455204"
16,,"6","11614","2015001455204"
21,,"6","11613","2015001472001"
23,,"6","11612","2015001467454"
16,,"6","11612","2016000023705"
22,,"6","11611","2016000041165"
23,,"6","11612","2016000131164"
19,,"6","11612","2016000201076"
20,,"6","11611","2016000157740"
24,,"3","11615","2016000183114"
19,,"6","11611","2016000400510"
24,,"3","11611","2016000286077"
21,,"6","11611","2016000272709"
19,,"6","11613","2016000306531"
20,,"6","11613","2016000308319"
23,,"6","11613","2016000319084"
24,,"6","11604","2016000338749"
22,,"6","11612","2016000349112"
22,,"3","11612","2016000443986"
22,,"6","11611","2016000428669"
22,,"6","11611","2016000466827"
20,,"3","11614","2016000485790"
23,,"3","11612","2016000474107"
24,,"3","11615","2016000650677"
19,,"6","11604","2016000519781"
20,,"3","11613","2016000572078"
24,,"6","11610","2016000557517"
24,,"3","11614","2016000692627"
18,,"6","11615","2016000686647"
24,,"6","11613","2016000726406"
23,,"6","11610","2016000697410"
23,,"6","11613","2016000707834"
22,,"6","11614","2016000777878"
19,,"3","11614","2016000738115"
23,,"6","11613","2016000766293"
24,,"3","11611","2016000874246"
20,,"6","11610","2016000784805"
16,,"6","11610","2016001052457"
22,,"3","11611","2016000947360"
19,,"6","11610","2016000955693"
22,,"6","11611","2016000967419"
19,,"6","11615","2016000949174"
24,,"6","11611","2016000976133"
20,,"6","11614","2016001026659"
19,,"3","11614","2016001026659"
22,,"6","11614","2016001144392"
24,,"6","11610","2016001082259"
24,,"6","11612","2016001138069"
20,,"6","11614","2016001144392"
18,,"6","11614","2016001144392"
18,,"6","11615","2016001183818"
19,,"6","11613","2016001145659"
20,,"6","11604","2016001214313"
19,,"6","11614","2016001199018"
22,,"6","11614","2016001203802"
23,,"6","11613","2016001228456"
22,,"3","11610","2016001292070"
19,,"6","11615","2016001260378"
20,,"6","11604","2016001308028"
22,,"3","11613","2016001307835"
19,,"3","11613","2016001395474"
22,,"3","11613","2016001334291"
24,,"3","11614","2016001455607"
22,,"3","11613","2016001443268"
23,,"3","11614","2016001455607"
22,,"3","11614","2016001455607"
19,,"6","11613","2017000038036"
21,,"6","11615","2017000014627"
21,,"3","11615","2017000004988"
22,,"6","11610","2017000066906"
23,,"3","11611","2017000128413"
20,,"6","11615","2017000108454"
20,,"3","11615","2017000106825"
23,,"3","11613","2017000371573"
24,,"3","11614","2017000149617"
