"agep","schg","esr","puma"
21,,"1","11614"
21,,"1","11614"
19,,"1","11611"
21,,"1","11613"
20,,"1","11611"
20,,"1","11614"
19,,"1","11612"
20,,"1","11614"
19,,"1","11612"
20,,"1","11611"
19,,"1","11612"
21,,"1","11613"
20,,"1","11611"
21,,"1","11613"
20,,"1","11612"
19,,"1","11604"
20,,"1","11613"
21,,"1","11611"
21,,"1","11612"
20,,"2","11613"
21,,"1","11614"
21,,"1","11610"
21,,"1","11613"
20,,"1","11613"
20,,"1","11611"
21,,"1","11613"
19,,"1","11610"
21,,"1","11613"
20,,"1","11610"
19,,"1","11612"
21,,"1","11611"
20,,"1","11610"
21,,"1","11610"
20,,"1","11612"
21,,"1","11611"
21,,"1","11610"
21,,"1","11610"
20,,"1","11614"
21,,"1","11614"
19,,"1","11604"
21,,"1","11613"
21,,"1","11604"
19,,"1","11611"
21,,"1","11611"
20,,"1","11611"
20,,"1","11604"
21,,"1","11610"
20,,"1","11612"
20,,"1","11610"
20,,"1","11611"
21,,"1","11614"
21,,"1","11611"
19,,"1","11612"
20,,"1","11610"
19,,"1","11614"
21,,"1","11604"
21,,"1","11614"
21,,"1","11612"
20,,"1","11611"
21,,"1","11610"
21,,"1","11611"
19,,"1","11613"
20,,"1","11613"
21,,"1","11614"
20,,"1","11611"
21,,"1","11610"
20,,"1","11611"
21,,"1","11610"
21,,"1","11612"
19,,"1","11611"
21,,"1","11613"
20,,"1","11613"
20,,"1","11604"
21,,"1","11614"
20,,"1","11613"
20,,"4","11613"
21,,"1","11614"
19,,"1","11612"
20,,"1","11614"
20,,"1","11612"
21,,"1","11614"
20,,"1","11604"
19,,"1","11604"
21,,"1","11612"
21,,"1","11611"
20,,"1","11611"
19,,"1","11610"
19,,"1","11610"
21,,"1","11610"
21,,"1","11614"
20,,"1","11614"
19,,"1","11612"
19,,"1","11610"
19,,"1","11614"
19,,"1","11610"
20,,"1","11613"
21,,"1","11604"
20,,"1","11614"
20,,"1","11612"
20,,"1","11612"
19,,"1","11610"
20,,"1","11612"
20,,"1","11611"
21,,"1","11614"
20,,"1","11612"
21,,"1","11604"
19,,"1","11604"
20,,"1","11614"
21,,"1","11604"
20,,"1","11610"
20,,"1","11612"
20,,"1","11614"
20,,"1","11612"
20,,"1","11610"
21,,"1","11610"
20,,"1","11614"
20,,"1","11614"
19,,"1","11614"
19,,"1","11613"
20,,"1","11612"
21,,"1","11613"
19,,"1","11613"
21,,"1","11614"
20,,"1","11614"
20,,"1","11611"
21,,"1","11604"
20,,"1","11610"
19,,"1","11613"
19,,"1","11614"
21,,"1","11612"
19,,"1","11604"
21,,"1","11614"
21,,"1","11612"
21,,"1","11610"
20,,"1","11614"
20,,"1","11614"
20,,"1","11613"
21,,"1","11614"
21,,"1","11614"
21,,"1","11610"
21,,"1","11610"
20,,"1","11614"
21,,"1","11614"
21,,"1","11612"
19,,"1","11611"
20,,"1","11614"
19,,"1","11604"
20,,"1","11610"
20,,"1","11613"
21,,"1","11613"
20,,"2","11604"
20,,"1","11611"
19,,"1","11613"
20,,"1","11610"
19,,"1","11611"
20,,"1","11614"
20,,"4","11611"
21,,"1","11611"
21,,"1","11614"
20,,"1","11612"
21,,"1","11612"
20,,"1","11610"
20,,"1","11614"
19,,"1","11613"
20,,"1","11610"
21,,"1","11612"
20,,"1","11614"
19,,"1","11612"
19,,"2","11614"
20,,"1","11611"
20,,"1","11614"
20,,"1","11612"
20,,"1","11614"
21,,"1","11613"
21,,"1","11612"
20,,"1","11604"
21,,"1","11611"
21,,"1","11604"
19,,"1","11610"
20,,"1","11613"
19,,"1","11604"
19,,"1","11614"
19,,"1","11604"
21,,"1","11604"
21,,"1","11612"
21,,"1","11613"
19,,"1","11614"
21,,"1","11604"
20,,"1","11614"
21,,"1","11611"
20,,"1","11613"
21,,"1","11604"
20,,"1","11611"
21,,"1","11611"
19,,"1","11604"
21,,"1","11604"
21,,"1","11611"
21,,"2","11614"
20,,"1","11613"
20,,"1","11614"
21,,"1","11610"
19,,"1","11610"
21,,"1","11612"
21,,"1","11612"
20,,"1","11613"
21,,"1","11614"
19,,"1","11604"
20,,"1","11611"
20,,"1","11614"
20,,"1","11611"
21,,"1","11611"
20,,"1","11612"
20,,"1","11611"
20,,"1","11611"
20,,"1","11611"
21,,"1","11611"
21,,"1","11614"
20,,"1","11611"
20,,"1","11612"
19,,"1","11610"
20,,"1","11614"
20,,"1","11614"
20,,"1","11611"
20,,"1","11611"
20,,"2","11611"
20,,"1","11611"
19,,"1","11612"
21,,"1","11613"
21,,"2","11613"
19,,"1","11613"
20,,"1","11613"
21,,"1","11611"
20,,"1","11613"
20,,"1","11614"
19,,"1","11611"
21,,"1","11612"
19,,"1","11612"
21,,"1","11611"
20,,"1","11612"
20,,"1","11614"
20,,"1","11610"
20,,"1","11614"
21,,"1","11614"
20,,"1","11613"
21,,"1","11610"
21,,"1","11610"
21,,"1","11614"
20,,"1","11610"
20,,"1","11614"
20,,"1","11614"
21,,"1","11614"
21,,"1","11610"
21,,"1","11610"
20,,"1","11611"
19,,"1","11610"
19,,"1","11613"
20,,"1","11614"
19,,"1","11611"
20,,"1","11613"
20,,"1","11612"
21,,"1","11611"
21,,"1","11613"
19,,"1","11613"
21,,"1","11613"
19,,"1","11611"
21,,"1","11611"
21,,"1","11612"
21,,"1","11610"
21,,"1","11613"
21,,"1","11611"
20,,"1","11611"
21,,"1","11610"
20,,"1","11611"
19,,"1","11614"
20,,"1","11612"
21,,"1","11611"
21,,"1","11611"
19,,"2","11612"
19,,"1","11614"
21,,"1","11612"
20,,"1","11610"
21,,"1","11614"
21,,"1","11612"
21,,"1","11613"
21,,"1","11613"
21,,"1","11612"
19,,"1","11612"
20,,"1","11613"
19,,"1","11610"
21,,"1","11610"
20,,"1","11614"
21,,"1","11612"
20,,"1","11604"
19,,"1","11610"
19,,"1","11613"
20,,"1","11612"
19,,"1","11604"
21,,"1","11612"
21,,"1","11612"
20,,"1","11611"
21,,"1","11610"
21,,"1","11614"
19,,"1","11614"
19,,"1","11614"
21,,"1","11611"
21,,"1","11613"
21,,"1","11612"
20,,"1","11613"
19,,"1","11612"
20,,"1","11614"
21,,"1","11611"
21,,"1","11604"
21,,"1","11614"
21,,"1","11614"
19,,"1","11604"
20,,"1","11614"
19,,"1","11614"
21,,"1","11611"
20,,"1","11614"
