"agep","schg","esr","puma","serialno"
21,,"6","11611","2013000505276"
19,,"6","11611","2013000030421"
21,,"3","11611","2013000057563"
18,,"6","11611","2013000121584"
23,,"6","11611","2013000242451"
18,,"3","11611","2013000360571"
23,,"6","11611","2013000475397"
19,,"6","11611","2013000691997"
23,,"3","11611","2013000640932"
20,,"3","11611","2013000599234"
23,,"6","11611","2013000795240"
23,,"6","11611","2013000766280"
21,,"6","11611","2013000774620"
22,,"6","11611","2013000960556"
23,,"6","11611","2013000961902"
19,,"6","11611","2013001377167"
20,,"6","11611","2013000975708"
21,,"6","11611","2013000975708"
18,,"3","11611","2013001071031"
23,,"3","11611","2013001142649"
18,,"6","11611","2013001142649"
21,,"6","11611","2013001181286"
21,,"6","11611","2013001223279"
24,,"6","11611","2013001243929"
18,,"6","11611","2013001360924"
18,,"6","11611","2013001377167"
24,,"6","11611","2013001377167"
23,,"6","11611","2014000328496"
23,,"6","11611","2013001379696"
24,,"6","11611","2013001391147"
21,,"6","11611","2014000101484"
24,,"6","11611","2014001149889"
23,,"3","11611","2014000495936"
21,,"3","11611","2014000551252"
19,,"6","11611","2014000687777"
24,,"3","11611","2014000498381"
23,,"6","11611","2014001486325"
24,,"6","11611","2014001208277"
22,,"6","11611","2014001204574"
21,,"6","11611","2014001265336"
24,,"3","11611","2015000325063"
23,,"6","11611","2015000284427"
21,,"6","11611","2015000051573"
23,,"6","11611","2015000858138"
24,,"6","11611","2015000365207"
24,,"6","11611","2015000914971"
22,,"6","11611","2016000041165"
21,,"6","11611","2015001330173"
20,,"6","11611","2016000157740"
22,,"6","11611","2016000428669"
21,,"6","11611","2016000272709"
24,,"3","11611","2016000286077"
19,,"6","11611","2016000400510"
22,,"6","11611","2016000466827"
23,,"3","11611","2017000128413"
22,,"3","11611","2016000947360"
22,,"6","11611","2016000967419"
24,,"3","11611","2016000874246"
24,,"6","11611","2016000976133"
23,,"6","11611","2017000385529"
19,,"6","11611","2017000303528"
21,,"6","11611","2017000319171"
19,,"3","11611","2017000384030"
24,,"6","11611","2017000432575"
22,,"3","11611","2017000828457"
20,,"3","11611","2017000813384"
19,,"6","11611","2017000598123"
21,,"6","11611","2017000971543"
17,,"3","11611","2017001295574"
20,,"3","11611","2017001014999"
16,,"6","11611","2017001063337"
