"agep","schg","esr","puma"
24,"15","1","11604"
22,"15","1","11604"
22,"15","1","11610"
22,"15","1","11611"
22,"14","1","11611"
23,"16","1","11610"
23,"14","1","11611"
22,"15","1","11610"
22,"15","1","11614"
24,"15","1","11611"
23,"15","1","11613"
24,"15","1","11614"
23,"15","1","11611"
23,"16","2","11604"
24,"15","1","11604"
24,"15","1","11604"
22,"15","1","11610"
23,"15","1","11611"
24,"15","1","11604"
23,"15","1","11613"
22,"15","1","11613"
22,"15","1","11610"
23,"15","1","11611"
23,"15","1","11610"
23,"15","1","11611"
23,"15","1","11611"
22,"15","1","11613"
24,"16","1","11611"
22,"15","1","11612"
24,"15","1","11611"
22,"15","1","11612"
22,"15","1","11604"
22,"15","1","11604"
22,"15","1","11611"
22,"15","1","11604"
22,"15","1","11611"
24,"15","1","11611"
22,"15","1","11612"
22,"15","1","11604"
22,"15","1","11613"
22,"15","1","11604"
22,"15","1","11604"
23,"15","1","11610"
22,"15","1","11610"
24,"15","1","11610"
22,"15","1","11610"
23,"15","1","11613"
22,"15","1","11611"
23,"15","1","11614"
24,"15","2","11613"
22,"15","1","11612"
24,"15","2","11613"
23,"15","1","11611"
23,"15","1","11613"
23,"15","1","11611"
22,"15","1","11610"
23,"16","1","11610"
22,"15","1","11610"
22,"15","1","11612"
22,"15","1","11611"
24,"15","1","11610"
22,"15","1","11611"
22,"15","1","11612"
22,"15","1","11613"
23,"15","1","11611"
23,"15","1","11613"
23,"15","1","11613"
24,"16","1","11610"
23,"15","1","11613"
23,"15","1","11604"
22,"15","1","11604"
22,"15","1","11604"
23,"15","1","11614"
24,"15","2","11611"
24,"15","1","11610"
22,"15","1","11612"
22,"15","1","11614"
24,"16","1","11604"
23,"15","1","11613"
22,"15","1","11610"
22,"15","1","11610"
23,"15","1","11613"
24,"15","2","11614"
22,"15","1","11604"
24,"15","1","11614"
22,"15","1","11604"
22,"15","1","11604"
24,"15","1","11614"
24,"15","1","11613"
23,"16","1","11611"
22,"15","1","11614"
22,"15","2","11604"
24,"15","1","11610"
24,"15","1","11612"
22,"16","1","11604"
24,"15","1","11610"
24,"15","1","11612"
24,"15","1","11610"
22,"15","1","11604"
22,"15","1","11611"
22,"15","1","11614"
22,"15","1","11613"
22,"15","1","11613"
24,"15","1","11610"
22,"15","1","11604"
24,"15","1","11613"
22,"15","2","11613"
22,"15","1","11611"
24,"15","1","11604"
22,"15","1","11604"
22,"15","1","11613"
22,"15","1","11613"
24,"16","1","11611"
24,"16","1","11612"
22,"15","1","11604"
23,"15","1","11614"
22,"14","1","11611"
23,"15","1","11613"
24,"16","1","11611"
24,"15","1","11614"
24,"15","1","11613"
24,"16","1","11613"
24,"15","1","11613"
24,"16","2","11604"
23,"15","1","11613"
24,"15","1","11610"
22,"15","1","11610"
22,"15","1","11610"
22,"15","1","11604"
24,"15","1","11613"
23,"15","1","11611"
22,"15","1","11613"
22,"15","1","11614"
23,"15","1","11613"
23,"15","1","11613"
22,"15","2","11611"
22,"15","1","11610"
22,"15","1","11610"
23,"15","1","11611"
23,"15","2","11604"
23,"15","2","11604"
24,"16","1","11604"
22,"15","1","11613"
24,"15","1","11613"
22,"15","1","11614"
22,"15","1","11612"
22,"15","1","11610"
22,"15","1","11614"
22,"15","1","11614"
22,"15","1","11613"
23,"15","1","11612"
23,"15","1","11613"
23,"15","1","11613"
23,"15","1","11613"
23,"15","1","11610"
24,"15","1","11612"
23,"15","1","11614"
24,"15","1","11611"
22,"15","1","11614"
22,"15","1","11604"
22,"15","1","11612"
23,"15","1","11604"
23,"15","1","11610"
23,"15","1","11612"
24,"15","1","11613"
23,"16","1","11610"
23,"15","1","11610"
24,"15","1","11610"
24,"16","1","11610"
23,"15","1","11611"
23,"15","1","11612"
22,"15","1","11613"
24,"16","1","11604"
24,"15","1","11604"
22,"16","1","11610"
24,"15","1","11604"
23,"15","1","11610"
23,"14","1","11611"
24,"16","1","11612"
22,"15","1","11610"
22,"16","1","11604"
23,"15","1","11612"
22,"15","1","11610"
22,"15","1","11613"
23,"15","1","11613"
22,"15","1","11610"
22,"15","1","11612"
22,"15","1","11604"
24,"15","1","11614"
23,"15","1","11612"
22,"15","1","11610"
22,"15","1","11614"
22,"15","1","11610"
24,"14","1","11611"
23,"15","1","11613"
24,"15","1","11613"
24,"15","1","11613"
