"agep","schg","esr","puma","serialno"
20,"15","1","11613","2016001228456"
20,"15","1","11613","2016001074056"
20,"15","1","11614","2016001075866"
20,"15","1","11613","2016001078063"
19,"15","1","11604","2016001164365"
20,"15","1","11613","2016001169552"
21,"15","1","11612","2016001312132"
19,"15","1","11612","2016001236405"
21,"15","1","11611","2016001426353"
19,"15","1","11604","2016001346966"
20,"15","1","11610","2016001312770"
21,"15","1","11614","2016001457774"
21,"15","1","11612","2016001445867"
21,"15","1","11612","2016001445867"
19,"15","1","11614","2017000116809"
20,"15","1","11610","2016001468478"
19,"15","1","11612","2017000010659"
21,"15","1","11611","2016001464694"
19,"15","1","11612","2017000023927"
19,"15","1","11611","2017000032162"
20,"15","1","11610","2017000053881"
20,"15","1","11611","2017000105836"
19,"15","1","11613","2017000282499"
19,"14","1","11611","2017000117592"
20,"15","1","11612","2017000150183"
20,"15","2","11613","2017000303142"
19,"15","1","11613","2017000303142"
20,"15","1","11612","2017000306270"
19,"15","1","11611","2017000310534"
20,"14","1","11611","2017000364160"
21,"15","1","11612","2017000323107"
21,"15","1","11610","2017000356067"
20,"15","1","11612","2017000380168"
20,"15","1","11614","2017000410426"
19,"15","1","11613","2017000553593"
19,"13","1","11611","2017000441351"
19,"15","1","11613","2017000421735"
20,"15","1","11604","2017000542329"
21,"15","1","11610","2017000614473"
21,"15","1","11611","2017000599896"
19,"15","1","11614","2017000606097"
19,"15","1","11611","2017000756564"
20,"15","1","11613","2017000652634"
19,"15","1","11612","2017000664933"
21,"15","1","11611","2017000690017"
21,"15","2","11613","2017000737812"
20,"15","1","11612","2017000796034"
19,"15","1","11610","2017000815419"
21,"15","1","11613","2017000796634"
20,"15","1","11614","2017000880052"
19,"15","1","11614","2017000863411"
20,"15","1","11604","2017000989550"
21,"16","1","11610","2017000897915"
20,"15","1","11613","2017000919339"
20,"15","1","11613","2017000939132"
19,"10","1","11604","2017000936313"
19,"15","1","11611","2017001010704"
19,"15","1","11611","2017000992901"
19,"14","1","11614","2017001009031"
20,"15","1","11611","2017001050504"
21,"15","1","11610","2017001025786"
21,"15","2","11613","2017001048980"
19,"15","1","11611","2017001050504"
19,"15","1","11613","2017001128997"
20,"15","1","11610","2017001125675"
20,"15","1","11604","2017001064903"
19,"15","1","11604","2017001422246"
19,"15","1","11612","2017001190863"
20,"15","1","11613","2017001201352"
19,"15","1","11610","2017001207408"
20,"15","1","11610","2017001207408"
20,"15","1","11614","2017001222052"
20,"15","1","11611","2017001203457"
20,"15","1","11613","2017001285194"
21,"15","1","11611","2017001316682"
19,"15","1","11604","2017001348004"
21,"15","1","11613","2017001378874"
19,"14","1","11613","2017001378874"
19,"15","1","11604","2017001411064"
19,"15","1","11604","2017001460044"
21,"15","1","11604","2017001463139"
21,"15","1","11604","2017001489813"
20,"15","1","11604","2017001510688"
