"agep","schg","esr","puma","serialno"
18,,"3","11613","2015000413383"
21,,"3","11610","2015000422539"
20,,"6","11615","2015000435546"
18,,"3","11614","2015000408207"
24,,"6","11610","2015000469647"
22,,"3","11613","2015000566835"
22,,"6","11615","2015000501937"
23,,"3","11612","2015000522021"
24,,"3","11615","2015000488282"
21,,"6","11615","2015000556693"
22,,"6","11613","2015000566835"
24,,"6","11614","2015000614394"
17,,"6","11612","2015000571386"
22,,"3","11614","2015000680508"
20,,"6","11614","2015000614394"
16,,"6","11614","2015000639047"
16,,"6","11615","2015000650843"
24,,"6","11612","2015000672530"
23,,"6","11614","2015000657349"
19,,"3","11612","2015000664648"
19,,"6","11613","2015000704508"
23,,"3","11615","2015000691577"
22,,"6","11613","2015000788992"
19,,"3","11614","2015000720456"
20,,"6","11613","2015000723829"
23,,"6","11610","2015000795797"
24,,"6","11615","2015000825470"
24,,"6","11610","2015000801810"
24,,"3","11614","2015000833566"
20,,"6","11610","2015001168092"
24,,"3","11612","2015000895429"
20,,"6","11613","2015000971675"
22,,"6","11614","2015001029197"
22,,"3","11612","2015001030849"
21,,"6","11613","2015001157462"
23,,"6","11611","2015000858138"
24,,"6","11611","2015000914971"
24,,"6","11612","2015001036103"
24,,"6","11614","2015001075258"
23,,"6","11610","2015001168092"
17,,"6","11614","2015001313106"
20,,"6","11613","2015001180162"
18,,"6","11614","2015001185185"
23,,"3","11613","2015001241717"
21,,"3","11614","2015001207071"
19,,"3","11613","2015001220225"
20,,"6","11610","2015001225136"
24,,"3","11615","2015001265411"
18,,"6","11610","2015001272145"
22,,"6","11614","2015001288120"
16,,"6","11614","2015001313106"
16,,"6","11612","2015001329594"
18,,"6","11610","2015001375172"
21,,"6","11611","2015001330173"
24,,"6","11614","2015001371640"
22,,"6","11614","2015001336558"
22,,"3","11613","2015001455193"
20,,"6","11614","2015001455204"
16,,"6","11614","2015001455204"
23,,"6","11612","2015001467454"
20,,"6","11611","2016000157740"
21,,"6","11613","2015001472001"
22,,"6","11611","2016000041165"
16,,"6","11612","2016000023705"
23,,"6","11612","2016000131164"
24,,"3","11611","2016000286077"
24,,"3","11615","2016000183114"
21,,"6","11611","2016000272709"
19,,"6","11612","2016000201076"
19,,"6","11613","2016000306531"
23,,"6","11613","2016000319084"
20,,"6","11613","2016000308319"
20,,"3","11614","2016000485790"
19,,"6","11611","2016000400510"
22,,"3","11612","2016000443986"
22,,"6","11612","2016000349112"
22,,"6","11611","2016000428669"
22,,"6","11611","2016000466827"
23,,"3","11612","2016000474107"
20,,"3","11613","2016000572078"
24,,"6","11610","2016000557517"
18,,"6","11615","2016000686647"
24,,"3","11615","2016000650677"
24,,"3","11614","2016000692627"
23,,"6","11613","2016000766293"
23,,"6","11613","2016000707834"
24,,"6","11613","2016000726406"
23,,"6","11610","2016000697410"
19,,"3","11614","2016000738115"
24,,"3","11611","2016000874246"
22,,"6","11614","2016000777878"
20,,"6","11610","2016000784805"
22,,"6","11611","2016000967419"
22,,"3","11611","2016000947360"
19,,"6","11610","2016000955693"
19,,"6","11615","2016000949174"
19,,"6","11613","2016001145659"
20,,"6","11614","2016001026659"
