"agep","schg","esr","puma","serialno"
16,"12","1","11612","2013000068930"
18,"15","1","11604","2013000398621"
18,"15","1","11614","2013000205662"
18,"13","1","11612","2013000227410"
18,"13","1","11612","2013000227410"
17,"13","1","11610","2013000330748"
18,"15","1","11612","2013000388196"
18,"15","1","11614","2013000160429"
17,"14","1","11613","2013000163056"
16,"12","1","11614","2013000461080"
17,"15","1","11610","2013000418695"
16,"13","1","11611","2013000569005"
18,"15","1","11604","2013000521637"
18,"14","1","11604","2013000658573"
18,"15","1","11614","2013000596337"
18,"14","1","11614","2013000987072"
16,"13","1","11604","2013000838753"
18,"14","1","11614","2013000915482"
17,"13","1","11614","2013000672933"
17,"14","1","11614","2013000673570"
18,"15","2","11610","2013000730808"
17,"14","1","11610","2013000796912"
17,"14","1","11611","2013000816031"
17,"12","1","11610","2013000840158"
16,"12","1","11611","2013000844238"
17,"13","1","11613","2013000895088"
18,"15","1","11610","2013000987293"
18,"15","1","11612","2013001081164"
18,"14","1","11612","2013001130937"
16,"13","1","11612","2013001083303"
17,"14","1","11611","2013001228880"
17,"14","1","11611","2013001228880"
18,"15","1","11611","2013001321111"
17,"14","1","11611","2013001355566"
18,"14","1","11611","2013001352312"
17,"13","1","11611","2014000121965"
18,"14","2","11611","2013001368080"
18,"14","1","11610","2014000054931"
18,"14","1","11613","2014000069879"
18,"15","1","11613","2013001369617"
17,"14","1","11613","2013001454091"
17,"14","1","11612","2014000027151"
17,"14","1","11612","2014000027151"
18,"14","1","11604","2014000041428"
17,"13","1","11610","2014000171821"
16,"12","1","11613","2014000672120"
17,"15","1","11613","2014000249451"
17,"13","1","11612","2014000343714"
17,"15","1","11613","2014000379823"
18,"15","1","11614","2014000448593"
18,"15","1","11614","2014000598258"
18,"14","1","11610","2014000621058"
18,"15","1","11613","2014000717702"
17,"14","1","11604","2014000682591"
16,"12","1","11611","2014000684960"
18,"14","1","11614","2014000787551"
16,"13","1","11612","2014000774370"
17,"14","1","11613","2014000732829"
17,"14","1","11614","2014000881768"
17,"13","1","11610","2014000804252"
18,"14","1","11613","2014000850495"
18,"14","1","11612","2014000882573"
18,"14","1","11613","2014001024987"
17,"13","1","11604","2014000941143"
18,"15","2","11604","2014000984457"
18,"15","1","11604","2014000931383"
17,"13","1","11614","2014001073979"
17,"15","1","11610","2014001203494"
17,"14","1","11611","2014001242928"
17,"15","1","11613","2014001390860"
17,"14","1","11604","2014001262325"
17,"15","1","11610","2015000016371"
18,"15","1","11604","2014001493190"
18,"14","1","11610","2014001426059"
18,"14","1","11612","2015000204583"
18,"14","1","11612","2015000324084"
17,"13","1","11610","2015000315428"
18,"13","1","11613","2015000264971"
17,"14","1","11611","2015000384904"
17,"13","1","11610","2015000351436"
18,"15","1","11612","2015000366938"
18,"15","1","11610","2015000495682"
18,"14","1","11611","2015000494631"
16,"13","1","11610","2015000495682"
17,"13","1","11612","2015000751825"
16,"13","1","11610","2015000517857"
17,"13","1","11604","2015000661692"
18,"14","1","11610","2015000710700"
16,"12","1","11611","2015000551801"
18,"15","1","11614","2015000639047"
16,"13","2","11611","2015000848068"
18,"15","1","11613","2015000757287"
16,"12","1","11604","2015000782857"
16,"13","1","11612","2015000787134"
16,"13","1","11613","2015000783837"
17,"13","1","11613","2015000790636"
16,"13","1","11611","2015000857943"
17,"14","1","11614","2015000921793"
18,"15","1","11611","2015000858138"
18,"14","1","11613","2015000862105"
17,"13","1","11613","2015000867344"
17,"14","1","11614","2015000940772"
18,"15","1","11613","2015000991594"
18,"14","1","11612","2015000986571"
18,"15","1","11613","2015001065864"
16,"12","1","11614","2015001004139"
18,"15","1","11612","2015001012660"
18,"15","1","11604","2015001014053"
18,"15","1","11604","2015001049640"
18,"15","1","11614","2015001118950"
17,"14","1","11610","2015001083524"
18,"14","1","11610","2015001255766"
18,"15","1","11604","2015001253221"
18,"14","1","11611","2015001126571"
17,"14","1","11613","2015001152512"
18,"14","1","11613","2015001156582"
18,"13","1","11614","2015001236315"
18,"15","1","11614","2015001241026"
16,"12","1","11614","2015001243397"
18,"15","1","11611","2015001265350"
17,"14","1","11604","2015001403795"
18,"15","2","11604","2015001278138"
16,"13","1","11612","2015001302400"
18,"15","1","11613","2015001378815"
17,"14","1","11614","2015001319064"
18,"14","1","11612","2015001482107"
18,"15","1","11614","2015001432533"
16,"13","1","11610","2015001513140"
18,"15","1","11611","2015001487410"
18,"15","1","11604","2016000006163"
17,"14","1","11613","2016000117857"
17,"14","1","11614","2016000321058"
17,"13","1","11613","2016000178610"
16,"13","1","11614","2016000269969"
16,"13","1","11613","2016000305053"
16,"13","1","11610","2016000328802"
17,"14","1","11611","2016000390993"
18,"14","1","11610","2016000385698"
17,"13","1","11613","2016000357342"
18,"14","1","11611","2016000363515"
16,"12","1","11614","2016000399403"
17,"13","1","11604","2016000519781"
16,"12","1","11610","2016000422993"
18,"14","1","11604","2016000402596"
16,"13","2","11613","2016000569624"
18,"15","1","11604","2016000566599"
17,"13","1","11613","2016000857096"
16,"13","1","11610","2016000649732"
18,"13","1","11612","2016000837694"
16,"13","2","11611","2016000875857"
17,"14","1","11613","2016001074056"
18,"13","1","11614","2016000885584"
16,"12","1","11614","2016000887301"
17,"14","2","11614","2016001026659"
18,"15","1","11611","2016000905161"
17,"14","1","11611","2016000984823"
17,"13","1","11611","2016001002458"
17,"13","1","11611","2016001144112"
17,"13","1","11611","2016001091071"
18,"14","1","11613","2016001169552"
18,"14","1","11610","2016001312770"
18,"14","1","11613","2016001200264"
18,"14","1","11614","2016001234862"
16,"12","1","11614","2016001418174"
18,"14","1","11610","2016001318909"
18,"14","1","11610","2017000143863"
16,"13","1","11613","2016001452050"
16,"12","1","11612","2017000042391"
17,"14","1","11612","2017000059448"
16,"12","1","11613","2017000109555"
16,"12","1","11613","2017000577390"
18,"15","1","11612","2017000154507"
17,"14","1","11614","2017000159949"
18,"14","1","11613","2017000191305"
18,"15","1","11614","2017000410426"
17,"15","1","11611","2017000468811"
17,"13","1","11604","2017000534628"
18,"14","1","11614","2017000192893"
18,"14","1","11604","2017000503596"
17,"13","1","11604","2017000542329"
16,"12","1","11604","2017000560855"
17,"14","1","11604","2017000719204"
16,"12","1","11611","2017000647095"
18,"15","1","11610","2017000663205"
18,"14","1","11612","2017000664933"
18,"14","1","11611","2017000705943"
17,"14","1","11612","2017000607262"
18,"14","1","11613","2017000652588"
18,"15","1","11611","2017000656189"
16,"13","1","11610","2017000737524"
17,"13","1","11613","2017000919339"
18,"14","1","11611","2017000905333"
18,"14","1","11610","2017000911963"
16,"13","1","11604","2017000844069"
17,"14","1","11614","2017000889389"
17,"15","1","11614","2017000929217"
18,"14","2","11612","2017000929725"
16,"13","1","11611","2017000992901"
18,"14","1","11611","2017000977787"
18,"14","1","11611","2017000987843"
18,"15","1","11611","2017001008617"
16,"12","1","11614","2017001001856"
17,"14","2","11612","2017001001943"
16,"13","1","11611","2017001034510"
16,"12","1","11604","2017001012729"
18,"14","1","11612","2017001074990"
17,"13","1","11610","2017001122031"
18,"14","1","11614","2017001083915"
18,"15","1","11604","2017001137298"
17,"14","1","11613","2017001128997"
17,"14","1","11614","2017001155756"
16,"13","1","11614","2017001162789"
17,"14","1","11613","2017001195976"
18,"14","1","11610","2017001200419"
17,"15","1","11610","2017001207408"
17,"13","1","11611","2017001332764"
18,"15","1","11604","2017001406967"
18,"15","1","11604","2017001425401"
