"agep","schg","esr","puma","serialno"
17,,"6","11612","2015000571386"
20,,"6","11614","2015000614394"
23,,"6","11614","2015000657349"
24,,"6","11614","2015000614394"
16,,"6","11614","2015000639047"
24,,"6","11612","2015000672530"
19,,"3","11614","2015000720456"
22,,"3","11614","2015000680508"
23,,"6","11604","2015000712746"
20,,"6","11604","2015000703702"
19,,"6","11613","2015000704508"
22,,"6","11613","2015000788992"
20,,"6","11613","2015000723829"
19,,"3","11604","2015000784141"
23,,"6","11610","2015000795797"
22,,"6","11614","2015001029197"
24,,"6","11610","2015000801810"
24,,"3","11614","2015000833566"
23,,"6","11611","2015000858138"
20,,"6","11613","2015000971675"
24,,"3","11612","2015000895429"
24,,"6","11611","2015000914971"
24,,"6","11614","2015001075258"
22,,"3","11612","2015001030849"
24,,"6","11612","2015001036103"
21,,"3","11614","2015001207071"
21,,"6","11613","2015001157462"
20,,"6","11610","2015001168092"
23,,"6","11610","2015001168092"
24,,"3","11604","2015001078210"
20,,"6","11613","2015001180162"
18,,"6","11614","2015001185185"
23,,"3","11613","2015001241717"
20,,"6","11610","2015001225136"
19,,"3","11613","2015001220225"
18,,"6","11610","2015001272145"
16,,"6","11612","2015001329594"
17,,"6","11614","2015001313106"
16,,"6","11614","2015001313106"
22,,"6","11614","2015001288120"
21,,"6","11611","2015001330173"
22,,"6","11614","2015001336558"
23,,"6","11612","2015001467454"
24,,"6","11614","2015001371640"
22,,"3","11613","2015001455193"
20,,"6","11614","2015001455204"
16,,"6","11614","2015001455204"
18,,"6","11610","2015001375172"
24,,"3","11611","2016000286077"
22,,"6","11611","2016000041165"
23,,"6","11612","2016000131164"
20,,"6","11611","2016000157740"
21,,"6","11611","2016000272709"
21,,"6","11613","2015001472001"
16,,"6","11612","2016000023705"
19,,"6","11612","2016000201076"
22,,"6","11611","2016000466827"
20,,"6","11613","2016000308319"
23,,"6","11613","2016000319084"
24,,"6","11604","2016000338749"
22,,"6","11612","2016000349112"
22,,"6","11611","2016000428669"
19,,"6","11613","2016000306531"
19,,"6","11611","2016000400510"
22,,"3","11612","2016000443986"
20,,"3","11614","2016000485790"
23,,"3","11612","2016000474107"
24,,"3","11614","2016000692627"
20,,"3","11613","2016000572078"
19,,"6","11604","2016000519781"
24,,"6","11610","2016000557517"
19,,"6","11610","2016000955693"
19,,"3","11614","2016000738115"
23,,"6","11613","2016000766293"
22,,"6","11614","2016000777878"
20,,"6","11610","2016000784805"
24,,"3","11611","2016000874246"
22,,"3","11611","2016000947360"
23,,"6","11610","2016000697410"
23,,"6","11613","2016000707834"
24,,"6","11613","2016000726406"
22,,"6","11611","2016000967419"
24,,"6","11611","2016000976133"
24,,"6","11612","2016001138069"
