"agep","schg","esr","puma"
24,,"1","11610"
24,,"1","11610"
23,,"4","11611"
24,,"2","11604"
24,,"1","11613"
22,,"1","11604"
22,,"1","11604"
22,,"1","11604"
24,,"1","11614"
24,,"1","11614"
22,,"1","11614"
22,,"1","11613"
24,,"1","11614"
23,,"2","11604"
23,,"1","11611"
24,,"1","11604"
24,,"1","11613"
22,,"1","11613"
22,,"1","11604"
24,,"1","11611"
23,,"1","11614"
24,,"1","11614"
23,,"1","11613"
24,,"1","11613"
22,,"1","11604"
22,,"1","11604"
23,,"1","11611"
23,,"1","11612"
23,,"1","11612"
24,,"2","11604"
22,,"1","11611"
23,,"1","11611"
23,,"1","11604"
24,,"1","11614"
23,,"1","11604"
22,,"1","11604"
23,,"1","11604"
24,,"1","11614"
23,,"1","11614"
23,,"1","11614"
24,,"1","11610"
24,,"1","11604"
23,,"1","11610"
23,,"1","11611"
23,,"1","11614"
23,,"1","11613"
22,,"1","11613"
23,,"1","11611"
23,,"1","11610"
24,,"1","11610"
24,,"1","11614"
24,,"1","11604"
22,,"1","11614"
24,,"1","11610"
23,,"1","11612"
24,,"1","11611"
24,,"1","11610"
22,,"1","11613"
23,,"1","11611"
23,,"1","11613"
23,,"1","11613"
22,,"1","11611"
22,,"1","11613"
22,,"1","11610"
23,,"1","11612"
24,,"1","11610"
24,,"1","11611"
22,,"1","11611"
24,,"1","11610"
24,,"1","11604"
23,,"1","11612"
24,,"1","11610"
24,,"1","11604"
23,,"1","11612"
24,,"1","11610"
24,,"1","11613"
24,,"1","11612"
24,,"1","11614"
24,,"1","11613"
24,,"1","11614"
22,,"1","11612"
22,,"1","11604"
23,,"1","11611"
24,,"1","11611"
22,,"2","11610"
22,,"1","11612"
24,,"1","11611"
23,,"1","11611"
23,,"1","11612"
22,,"1","11611"
23,,"1","11611"
23,,"1","11604"
23,,"1","11604"
22,,"1","11611"
23,,"1","11611"
22,,"1","11614"
24,,"1","11612"
22,,"1","11611"
24,,"1","11610"
24,,"1","11610"
22,,"1","11604"
24,,"1","11610"
24,,"1","11610"
24,,"1","11612"
23,,"1","11612"
23,,"1","11611"
24,,"1","11604"
24,,"1","11604"
24,,"1","11604"
24,,"1","11604"
24,,"1","11613"
23,,"1","11614"
23,,"1","11614"
24,,"1","11614"
23,,"1","11614"
24,,"1","11614"
22,,"1","11604"
24,,"1","11612"
24,,"1","11613"
22,,"1","11611"
22,,"2","11614"
24,,"1","11604"
23,,"1","11604"
22,,"1","11604"
24,,"1","11613"
24,,"1","11611"
24,,"1","11613"
24,,"1","11604"
24,,"1","11613"
22,,"1","11611"
24,,"1","11612"
24,,"1","11612"
22,,"1","11614"
23,,"1","11612"
22,,"1","11610"
23,,"4","11611"
23,,"1","11610"
24,,"1","11604"
23,,"1","11614"
24,,"1","11612"
23,,"1","11604"
22,,"1","11604"
24,,"1","11610"
23,,"1","11613"
22,,"1","11604"
22,,"1","11604"
22,,"1","11604"
22,,"1","11604"
22,,"1","11610"
24,,"1","11612"
24,,"1","11613"
23,,"1","11611"
23,,"1","11610"
24,,"1","11614"
22,,"1","11611"
24,,"1","11604"
24,,"1","11611"
24,,"1","11611"
23,,"1","11604"
24,,"4","11611"
22,,"1","11613"
22,,"1","11613"
23,,"1","11610"
23,,"1","11613"
24,,"1","11611"
23,,"1","11611"
24,,"1","11604"
23,,"1","11611"
24,,"1","11611"
24,,"1","11611"
22,,"1","11610"
23,,"1","11611"
22,,"1","11612"
24,,"1","11612"
23,,"1","11604"
23,,"1","11613"
24,,"1","11611"
23,,"1","11611"
22,,"1","11610"
24,,"1","11610"
22,,"1","11604"
24,,"1","11610"
24,,"1","11613"
24,,"1","11604"
23,,"1","11613"
22,,"1","11610"
24,,"1","11610"
23,,"1","11611"
24,,"1","11614"
24,,"1","11613"
24,,"1","11604"
24,,"1","11614"
24,,"4","11611"
23,,"1","11612"
22,,"1","11614"
22,,"1","11604"
24,,"1","11610"
22,,"1","11613"
24,,"1","11614"
22,,"1","11614"
23,,"1","11614"
23,,"1","11613"
23,,"1","11614"
24,,"1","11604"
23,,"1","11604"
22,,"1","11604"
22,,"1","11604"
22,,"1","11610"
22,,"1","11610"
24,,"1","11613"
23,,"1","11613"
24,,"1","11612"
24,,"1","11614"
23,,"1","11613"
23,,"1","11611"
23,,"1","11614"
22,,"1","11613"
24,,"1","11613"
23,,"1","11612"
22,,"1","11613"
24,,"1","11613"
22,,"1","11614"
24,,"1","11612"
23,,"1","11604"
24,,"1","11613"
22,,"1","11612"
22,,"1","11612"
24,,"1","11610"
23,,"1","11611"
23,,"1","11611"
24,,"1","11611"
24,,"1","11613"
22,,"1","11610"
24,,"1","11610"
23,,"1","11611"
24,,"1","11614"
22,,"1","11612"
22,,"1","11610"
23,,"1","11610"
22,,"1","11604"
22,,"1","11613"
23,,"1","11612"
24,,"1","11612"
22,,"1","11611"
23,,"1","11612"
24,,"1","11613"
23,,"1","11610"
22,,"1","11613"
23,,"2","11611"
24,,"1","11604"
22,,"1","11614"
22,,"1","11612"
23,,"1","11612"
24,,"1","11604"
23,,"1","11613"
24,,"1","11614"
24,,"1","11613"
24,,"1","11613"
24,,"1","11604"
23,,"1","11610"
24,,"1","11604"
24,,"1","11604"
24,,"1","11613"
22,,"1","11612"
24,,"1","11611"
23,,"1","11610"
23,,"1","11613"
23,,"1","11613"
24,,"1","11611"
24,,"1","11612"
24,,"1","11614"
24,,"1","11613"
23,,"1","11614"
22,,"1","11613"
24,,"1","11604"
23,,"1","11614"
24,,"1","11611"
22,,"1","11614"
24,,"1","11614"
23,,"1","11614"
23,,"1","11612"
23,,"1","11613"
23,,"1","11613"
24,,"1","11610"
22,,"1","11611"
24,,"1","11613"
22,,"1","11614"
24,,"1","11611"
24,,"1","11614"
22,,"1","11610"
23,,"1","11614"
22,,"1","11610"
22,,"1","11612"
24,,"1","11604"
24,,"1","11612"
22,,"1","11612"
22,,"1","11614"
24,,"1","11611"
22,,"1","11614"
24,,"1","11604"
24,,"1","11604"
22,,"1","11604"
24,,"1","11610"
23,,"1","11614"
24,,"1","11604"
23,,"1","11611"
23,,"1","11614"
24,,"1","11614"
23,,"1","11610"
24,,"1","11610"
23,,"1","11611"
24,,"1","11611"
24,,"1","11613"
22,,"1","11610"
23,,"1","11604"
22,,"1","11613"
24,,"1","11611"
22,,"1","11610"
24,,"1","11612"
23,,"1","11604"
24,,"1","11614"
23,,"1","11604"
24,,"1","11610"
24,,"1","11610"
23,,"1","11604"
23,,"1","11604"
23,,"1","11610"
24,,"1","11612"
22,,"1","11613"
24,,"1","11613"
23,,"1","11613"
24,,"1","11604"
22,,"1","11613"
22,,"2","11614"
24,,"1","11610"
23,,"1","11614"
22,,"1","11613"
22,,"1","11613"
24,,"1","11614"
24,,"1","11614"
24,,"1","11610"
23,,"1","11611"
24,,"2","11604"
24,,"1","11613"
23,,"2","11614"
24,,"1","11611"
24,,"1","11613"
23,,"1","11613"
22,,"1","11610"
23,,"1","11610"
23,,"1","11604"
24,,"1","11613"
23,,"2","11611"
24,,"1","11612"
23,,"1","11614"
23,,"1","11612"
23,,"1","11614"
22,,"4","11612"
24,,"1","11613"
23,,"1","11613"
22,,"2","11604"
23,,"1","11614"
23,,"1","11613"
23,,"1","11612"
24,,"1","11612"
24,,"2","11613"
24,,"1","11604"
22,,"1","11614"
23,,"1","11613"
22,,"1","11613"
22,,"1","11610"
22,,"1","11614"
22,,"1","11613"
23,,"1","11610"
24,,"1","11611"
23,,"1","11613"
23,,"1","11611"
23,,"1","11614"
24,,"1","11610"
24,,"1","11614"
22,,"1","11614"
22,,"1","11610"
24,,"1","11611"
23,,"1","11611"
24,,"1","11612"
23,,"1","11612"
24,,"1","11614"
23,,"1","11611"
24,,"1","11612"
22,,"1","11614"
22,,"1","11604"
22,,"1","11604"
23,,"1","11604"
24,,"1","11610"
24,,"1","11604"
23,,"1","11604"
23,,"1","11604"
24,,"1","11604"
24,,"1","11612"
24,,"1","11610"
22,,"1","11613"
23,,"1","11610"
23,,"1","11612"
23,,"1","11614"
23,,"1","11612"
24,,"1","11604"
23,,"1","11611"
24,,"1","11604"
23,,"1","11612"
22,,"1","11612"
23,,"1","11611"
22,,"1","11611"
23,,"1","11604"
22,,"1","11614"
23,,"1","11604"
22,,"1","11612"
24,,"1","11612"
22,,"1","11610"
22,,"1","11614"
24,,"1","11610"
23,,"1","11613"
24,,"1","11604"
24,,"1","11614"
23,,"1","11614"
23,,"1","11614"
23,,"1","11612"
24,,"1","11614"
23,,"1","11610"
23,,"1","11613"
23,,"1","11613"
23,,"1","11611"
23,,"1","11610"
24,,"1","11610"
24,,"1","11604"
23,,"1","11610"
24,,"1","11610"
24,,"1","11604"
22,,"1","11612"
23,,"1","11613"
24,,"1","11612"
24,,"1","11604"
23,,"1","11604"
24,,"1","11604"
24,,"1","11611"
23,,"1","11613"
24,,"1","11610"
22,,"1","11604"
23,,"1","11612"
24,,"1","11604"
22,,"4","11611"
23,,"1","11610"
24,,"1","11611"
24,,"2","11613"
22,,"1","11612"
24,,"1","11614"
22,,"2","11612"
22,,"1","11604"
23,,"1","11604"
23,,"1","11604"
24,,"1","11611"
24,,"1","11610"
24,,"1","11610"
23,,"1","11614"
23,,"1","11604"
24,,"1","11604"
24,,"1","11604"
24,,"1","11604"
23,,"1","11604"
23,,"1","11604"
22,,"1","11604"
24,,"1","11610"
22,,"1","11613"
22,,"1","11604"
23,,"1","11611"
24,,"1","11611"
24,,"1","11610"
23,,"1","11604"
23,,"1","11604"
22,,"1","11612"
23,,"1","11612"
22,,"1","11611"
23,,"1","11614"
22,,"1","11614"
24,,"1","11613"
23,,"1","11610"
23,,"2","11604"
24,,"1","11614"
24,,"1","11614"
22,,"1","11610"
22,,"1","11610"
23,,"1","11610"
24,,"1","11611"
22,,"1","11611"
24,,"1","11604"
22,,"1","11611"
22,,"1","11611"
24,,"1","11604"
23,,"1","11612"
22,,"1","11611"
24,,"1","11604"
22,,"1","11611"
22,,"1","11614"
24,,"2","11613"
22,,"1","11614"
24,,"1","11604"
24,,"1","11614"
24,,"1","11613"
23,,"1","11614"
24,,"1","11614"
23,,"1","11614"
22,,"1","11613"
22,,"1","11614"
24,,"1","11611"
22,,"1","11611"
23,,"1","11612"
22,,"1","11604"
23,,"1","11613"
24,,"1","11613"
22,,"1","11613"
23,,"1","11614"
23,,"1","11610"
24,,"1","11604"
24,,"1","11604"
23,,"1","11613"
24,,"1","11613"
24,,"1","11611"
23,,"1","11610"
22,,"1","11612"
24,,"1","11613"
24,,"1","11610"
24,,"1","11610"
24,,"1","11614"
24,,"1","11612"
22,,"1","11610"
24,,"1","11614"
23,,"1","11611"
22,,"1","11610"
23,,"1","11614"
22,,"1","11614"
22,,"1","11614"
23,,"1","11611"
23,,"1","11610"
24,,"1","11610"
23,,"1","11613"
23,,"1","11614"
23,,"1","11613"
24,,"1","11604"
22,,"1","11610"
22,,"1","11614"
23,,"1","11611"
23,,"1","11610"
23,,"1","11612"
23,,"1","11611"
22,,"1","11611"
22,,"1","11611"
22,,"1","11613"
23,,"1","11611"
24,,"1","11613"
23,,"1","11613"
23,,"1","11611"
24,,"1","11614"
24,,"1","11614"
24,,"1","11610"
22,,"1","11610"
23,,"1","11610"
24,,"1","11611"
24,,"1","11612"
24,,"1","11611"
24,,"1","11610"
24,,"1","11612"
23,,"1","11612"
23,,"1","11612"
23,,"1","11614"
22,,"1","11612"
22,,"1","11612"
23,,"1","11613"
22,,"1","11613"
24,,"1","11614"
23,,"1","11604"
24,,"1","11611"
22,,"1","11611"
23,,"1","11610"
22,,"1","11611"
24,,"1","11614"
23,,"1","11614"
23,,"1","11614"
24,,"1","11611"
24,,"1","11604"
24,,"1","11611"
23,,"1","11611"
23,,"1","11610"
23,,"1","11610"
23,,"1","11614"
22,,"1","11614"
24,,"1","11610"
24,,"1","11614"
24,,"1","11610"
24,,"1","11612"
22,,"1","11613"
24,,"1","11610"
24,,"1","11614"
23,,"1","11614"
23,,"1","11611"
23,,"1","11612"
24,,"1","11613"
24,,"1","11613"
23,,"1","11610"
24,,"1","11613"
24,,"1","11610"
23,,"1","11613"
23,,"1","11613"
23,,"1","11604"
24,,"1","11610"
23,,"1","11613"
22,,"1","11604"
22,,"1","11613"
23,,"1","11611"
23,,"1","11614"
24,,"1","11614"
23,,"1","11612"
22,,"1","11612"
23,,"1","11604"
23,,"1","11613"
24,,"1","11611"
22,,"1","11613"
24,,"1","11604"
24,,"1","11604"
24,,"1","11614"
23,,"1","11604"
23,,"1","11604"
24,,"1","11610"
22,,"4","11613"
23,,"1","11604"
23,,"1","11611"
23,,"1","11611"
24,,"1","11612"
23,,"1","11611"
23,,"1","11614"
24,,"1","11604"
23,,"1","11604"
23,,"1","11614"
22,,"1","11614"
23,,"1","11604"
23,,"1","11604"
24,,"1","11610"
23,,"1","11613"
24,,"1","11604"
23,,"1","11611"
23,,"1","11610"
22,,"1","11612"
23,,"1","11613"
24,,"1","11611"
22,,"2","11612"
22,,"1","11614"
22,,"1","11614"
23,,"1","11610"
23,,"1","11614"
24,,"1","11612"
22,,"1","11614"
23,,"1","11612"
23,,"1","11613"
24,,"1","11613"
23,,"1","11610"
23,,"1","11611"
22,,"1","11614"
23,,"1","11613"
24,,"1","11614"
22,,"1","11614"
22,,"1","11610"
24,,"1","11612"
23,,"1","11613"
24,,"1","11612"
22,,"1","11613"
24,,"1","11611"
24,,"1","11613"
23,,"1","11604"
22,,"1","11611"
23,,"4","11613"
22,,"1","11611"
24,,"1","11613"
23,,"1","11612"
24,,"1","11613"
23,,"1","11611"
22,,"1","11612"
24,,"1","11610"
22,,"1","11604"
23,,"1","11612"
24,,"1","11604"
24,,"1","11612"
23,,"1","11612"
22,,"1","11613"
24,,"1","11610"
24,,"1","11614"
24,,"1","11614"
23,,"1","11611"
23,,"1","11610"
22,,"1","11613"
24,,"1","11613"
22,,"1","11613"
23,,"1","11604"
22,,"1","11610"
24,,"1","11610"
24,,"1","11604"
24,,"1","11614"
24,,"1","11604"
24,,"1","11614"
24,,"1","11614"
24,,"1","11611"
24,,"1","11614"
24,,"1","11611"
22,,"1","11612"
24,,"1","11612"
24,,"1","11612"
23,,"1","11611"
23,,"1","11614"
23,,"1","11614"
23,,"1","11613"
24,,"1","11613"
24,,"1","11604"
24,,"1","11604"
24,,"1","11604"
24,,"1","11604"
22,,"1","11604"
22,,"1","11614"
