"agep","schg","esr","puma","serialno"
21,"15","1","11614","2014000881768"
19,"15","1","11604","2014000784003"
18,"14","1","11614","2014000787551"
22,"15","1","11612","2014000821940"
17,"13","1","11610","2014000804252"
22,"15","1","11610","2014000810510"
18,"14","1","11613","2014000850495"
17,"14","1","11614","2014000881768"
18,"14","1","11612","2014000882573"
24,"16","1","11610","2014000927047"
21,"15","1","11611","2014000886164"
17,"13","1","11614","2014001073979"
17,"13","1","11604","2014000941143"
18,"15","2","11604","2014000984457"
20,"15","1","11604","2014001046030"
18,"15","1","11604","2014000931383"
23,"15","1","11611","2014000931889"
20,"15","1","11611","2014000931889"
19,"15","1","11604","2014000962804"
20,"15","1","11614","2014000968775"
21,"15","1","11611","2014000983179"
19,"15","1","11614","2014000998907"
20,"15","1","11612","2014001004188"
18,"14","1","11613","2014001024987"
19,"15","1","11613","2014001050819"
19,"15","1","11611","2014001122229"
23,"15","1","11613","2014001105971"
19,"15","1","11611","2014001122229"
20,"15","2","11604","2014001158641"
19,"15","1","11610","2014001124695"
17,"15","1","11610","2014001203494"
23,"15","1","11613","2014001181244"
21,"15","1","11613","2014001184148"
20,"15","1","11614","2014001212254"
23,"15","1","11613","2014001246678"
17,"14","1","11611","2014001242928"
22,"15","1","11613","2014001297667"
17,"14","1","11604","2014001262325"
21,"15","1","11611","2014001273218"
22,"15","1","11612","2014001412356"
22,"15","1","11604","2014001304108"
22,"15","1","11604","2014001304108"
20,"15","1","11614","2014001353999"
19,"15","1","11614","2014001356082"
21,"15","1","11614","2014001303503"
23,"15","1","11604","2014001322946"
24,"15","2","11611","2014001325842"
24,"15","1","11610","2014001349122"
23,"15","1","11614","2014001389270"
17,"15","1","11613","2014001390860"
20,"12","1","11610","2014001426059"
18,"14","1","11610","2014001426059"
20,"16","1","11612","2014001487427"
24,"16","1","11604","2014001446466"
22,"15","1","11614","2014001485728"
20,"15","1","11604","2014001459865"
20,"15","1","11614","2014001466849"
19,"14","1","11613","2014001470313"
22,"15","1","11610","2015000016773"
17,"15","1","11610","2015000016371"
18,"15","1","11604","2014001493190"
21,"15","2","11611","2015000020114"
23,"15","1","11613","2015000164612"
19,"15","1","11614","2015000038555"
24,"15","1","11614","2015000060584"
22,"15","1","11604","2015000074031"
22,"15","1","11604","2015000074031"
21,"15","1","11604","2015000074031"
21,"15","1","11604","2015000102954"
20,"15","1","11614","2015000159103"
23,"15","1","11613","2015000032212"
24,"15","2","11614","2015000206933"
19,"15","1","11604","2015000199401"
18,"14","1","11612","2015000204583"
22,"15","1","11604","2015000227923"
18,"14","1","11612","2015000324084"
18,"13","1","11613","2015000264971"
19,"15","1","11610","2015000277213"
17,"13","1","11610","2015000315428"
20,"15","1","11613","2015000253341"
20,"15","1","11610","2015000273708"
22,"15","1","11610","2015000278516"
19,"15","1","11614","2015000340517"
24,"15","1","11613","2015000328668"
19,"15","1","11611","2015000422107"
18,"15","1","11612","2015000366938"
17,"13","1","11610","2015000351436"
19,"15","1","11604","2015000373649"
17,"14","1","11611","2015000384904"
18,"15","1","11610","2015000495682"
20,"15","1","11611","2015000423109"
23,"16","1","11611","2015000459623"
18,"14","1","11611","2015000494631"
19,"15","1","11614","2015000458661"
21,"15","1","11604","2015000484443"
16,"13","1","11610","2015000495682"
19,"15","1","11614","2015000507356"
16,"12","1","11611","2015000551801"
19,"15","1","11604","2015000544112"
20,"15","1","11610","2015000517857"
16,"13","1","11610","2015000517857"
21,"15","1","11614","2015000555572"
22,"15","1","11614","2015000555572"
24,"15","1","11614","2015000613559"
20,"15","1","11611","2015000571382"
19,"15","1","11611","2015000577107"
22,"15","2","11604","2015000586387"
21,"15","1","11604","2015000598839"
21,"15","1","11614","2015000613559"
21,"15","1","11612","2015000634454"
24,"15","1","11610","2015000634351"
18,"15","1","11614","2015000639047"
20,"15","2","11614","2015000646427"
19,"15","1","11604","2015000687525"
17,"13","1","11604","2015000661692"
24,"15","1","11610","2015000698541"
22,"16","1","11604","2015000690070"
24,"15","1","11612","2015000749618"
18,"14","1","11610","2015000710700"
19,"15","1","11614","2015000756106"
17,"13","1","11612","2015000751825"
18,"15","1","11613","2015000757287"
20,"12","1","11611","2015000774447"
22,"15","1","11611","2015000767878"
24,"15","1","11612","2015000757796"
17,"13","1","11613","2015000790636"
19,"15","2","11613","2015000783837"
16,"13","1","11613","2015000783837"
19,"15","1","11610","2015000790009"
16,"12","1","11604","2015000782857"
16,"13","1","11612","2015000787134"
22,"15","1","11604","2015000790415"
24,"15","1","11610","2015000792079"
24,"15","1","11610","2015000840124"
19,"15","1","11604","2015000833411"
21,"15","1","11614","2015000833566"
18,"15","1","11611","2015000858138"
