"agep","schg","esr","puma"
19,"15","6","11612"
21,"15","6","11612"
19,"15","6","11614"
20,"15","3","11604"
20,"15","6","11604"
19,"14","6","11614"
20,"15","6","11611"
19,"15","6","11604"
20,"15","6","11604"
21,"15","6","11604"
19,"15","3","11604"
21,"15","6","11611"
21,"15","6","11611"
21,"15","6","11611"
19,"14","6","11612"
21,"15","6","11613"
21,"15","6","11612"
19,"15","6","11604"
21,"15","6","11613"
19,"15","6","11614"
20,"13","3","11604"
20,"15","6","11610"
19,"14","6","11611"
19,"13","6","11614"
21,"15","6","11610"
21,"15","3","11612"
21,"15","6","11614"
20,"15","6","11610"
19,"15","6","11604"
20,"15","6","11613"
20,"15","6","11610"
19,"15","6","11610"
19,"15","6","11610"
21,"15","6","11604"
20,"15","3","11614"
20,"15","6","11613"
19,"15","6","11604"
19,"14","6","11612"
19,"15","3","11614"
19,"13","6","11613"
20,"15","3","11604"
19,"15","6","11614"
19,"15","3","11612"
21,"15","3","11604"
21,"15","6","11611"
20,"15","3","11613"
21,"14","6","11613"
20,"15","6","11614"
20,"15","3","11611"
21,"15","6","11614"
21,"14","6","11614"
21,"15","6","11610"
19,"15","6","11604"
21,"15","6","11613"
20,"15","6","11611"
19,"15","6","11604"
21,"15","6","11614"
20,"15","6","11613"
20,"15","6","11612"
21,"15","6","11604"
19,"15","6","11604"
21,"15","6","11613"
21,"15","6","11613"
19,"15","3","11604"
19,"15","6","11604"
19,"15","6","11614"
20,"15","6","11614"
21,"15","6","11604"
20,"14","6","11611"
19,"15","6","11612"
19,"15","6","11612"
20,"15","3","11610"
19,"15","3","11613"
19,"15","6","11604"
19,"14","6","11614"
20,"15","6","11610"
19,"15","6","11610"
19,"15","3","11612"
19,"15","6","11611"
20,"15","6","11610"
19,"15","6","11604"
19,"14","6","11611"
19,"15","6","11610"
19,"15","6","11604"
19,"15","6","11604"
19,"15","6","11614"
19,"15","6","11614"
19,"15","6","11610"
19,"15","6","11604"
20,"15","6","11614"
21,"15","6","11612"
19,"15","6","11604"
20,"15","3","11604"
19,"15","6","11604"
21,"15","3","11604"
19,"15","3","11613"
20,"15","6","11610"
20,"15","6","11604"
19,"15","6","11610"
20,"15","6","11612"
21,"15","6","11604"
20,"15","6","11612"
19,"15","3","11604"
19,"15","6","11614"
21,"14","3","11613"
19,"12","6","11613"
19,"15","6","11604"
19,"15","3","11604"
19,"15","6","11604"
21,"15","6","11614"
21,"15","6","11604"
21,"15","6","11604"
19,"15","3","11604"
20,"15","3","11612"
21,"15","6","11614"
21,"15","6","11610"
20,"15","3","11613"
20,"14","6","11610"
19,"15","6","11610"
20,"15","6","11612"
20,"15","6","11612"
20,"15","6","11604"
20,"15","6","11613"
20,"15","6","11613"
19,"15","6","11612"
19,"15","6","11604"
19,"15","6","11614"
21,"15","6","11604"
20,"15","6","11612"
21,"15","6","11612"
19,"15","6","11604"
